37|PSKOV|NP|117.80|57.785|28.4066666666667|898.0
40|St PETERSBURG Siversky|RS|117.95|59.3583333333333|30.045|273.0
02|St PETERSBURG Pulkovo|PO|116.05|59.8116666666667|30.2716666666667|273.0
28|SOLTSY|FB|117.35|58.1483333333333|30.3166666666667|608.0
13|STARAYA RUSSA|00|116.60|57.9566666666667|31.385|1735.0
25|MURMANSK Kilpyavr|VA|117.20|69.105|32.4266666666667|2104.0
22|OLENYA|PL|117.05|68.1533333333333|33.4883333333333|2068.0
05|SEVEROMORSK-3|JN|116.20|68.8716666666667|33.71|2068.0
20|ARKHANGELSK|AZ|116.95|64.6016666666667|40.72|206.0
28|KOTLAS|BR|117.35|60.9966666666667|46.865|31.0
09|TVER|KU|116.40|56.825|35.7416666666667|709.0
32|KURSK|WA|117.55|51.755|36.2916666666667|2317.0
12|DOROKHOVO|AL0|116.55|57.7233333333333|36.65|889.0
04|MOSKOW Vnukovo|OB|116.15|55.5983333333333|37.2783333333333|41.0
10|CHKALOVSKY|OF|116.45|55.88|38.05|62.0
06|RAMENSKOYE|00|116.25|55.5316666666667|38.185|62.0
28|LUKHOVITSY|GW|117.35|54.9083333333333|39.0383333333333|-24.0
22|IVANOVO|AL1|117.05|56.9533333333333|40.8983333333333|92.0
26|NIZHNY NOVGOROD|UV|117.25|56.26|43.7766666666667|210.0
33|PECHORA|PM|117.60|65.1133333333333|57.1266666666667|57.0
19|VORKUTA|DW|116.90|67.49|63.9883333333333|-1.79769313486231e+308
25|TAGANROG|UF|117.20|47.1933333333333|38.8583333333333|1638.0
35|ROSTOV-NA-DONU|RN|117.70|47.2716666666667|39.8333333333333|952.0
34|KHANSKAYA|01|117.65|44.6783333333333|40.0316666666667|867.0
01|ARMAVIR|TG|116.00|44.97|41.115|2442.0
33|MINERALNYYE VODY|MW|117.60|44.225|43.0933333333333|899.0
36|VOLGOGRAD|WG|117.75|48.78|44.345|-29.0
14|LEBYAZHYE|MA|116.65|50.2016666666667|45.215|-29.0
30|GROZNY|00|117.45|43.3933333333333|45.705|405.0
27|MAKHACHKALA|SM|117.30|42.8166666666667|47.6416666666667|101.0
02|ASTRAKHAN|GV|116.05|46.2766666666667|48.0033333333333|1.0
20|PERM|PX|116.95|57.9166666666667|56.0333333333333|171.0
03|YEKATERINBURG|ED|116.10|56.7383333333333|60.83|166.0
17|CHELYABINSK Shagol|MZ|116.80|55.2516666666667|61.3033333333333|-1.79769313486231e+308
37|NADYM|PZ|117.80|65.475|72.705|-1.79769313486231e+308
08|PENZA|RN|116.35|53.1083333333333|45.0116666666667|-4.0
02|ULYANOVSK|LS|116.05|54.26|48.2283333333333|35.0
30|ULYANOVSK Vostochny|DR|117.45|54.4033333333333|48.815|35.0
05|SAMARA Kurumoch|FK|116.20|53.5016666666667|50.14|33.0
21|SAMARA Bezymyanka|NA|117.00|53.2283333333333|50.335|33.0
35|UFA|RG|117.70|54.555|55.8933333333333|175.0
23|DIKSON,O|QK|117.10|73.5166666666667|80.4133333333333|-1.79769313486231e+308
35|NORILSK|BF|117.70|69.3183333333333|87.3533333333333|-1.79769313486231e+308
31|OMSK Tsentralny|RM|117.50|54.96|73.2983333333333|-1.79769313486231e+308
07|OMSK Severny|LD|116.30|54.9766666666667|73.56|-1.79769313486231e+308
24|NOVOSIBIRSK|KT|117.15|55.015|82.6683333333333|-1.79769313486231e+308
38|KOLPASHEVO|FB|117.85|58.3283333333333|82.9266666666667|-1.79769313486231e+308
27|NOVOSIBIRSK Yeltsovka|KP|117.30|55.1033333333333|83.0183333333333|-1.79769313486231e+308
39|BARNAUL|00|117.90|53.3733333333333|83.5783333333333|-1.79769313486231e+308
14|KEMEROVO|NC|116.65|55.2716666666667|86.12|-1.79769313486231e+308
35|NOVOKUZNETSK|UF|117.70|53.815|86.875|-1.79769313486231e+308
06|BELAYA|GW|116.25|52.9166666666667|103.578333333333|-1.79769313486231e+308
38|BODAYBO|IA|117.85|57.8733333333333|114.228333333333|-1.79769313486231e+308
23|MOGOCHA|KU|117.10|53.7233333333333|119.758333333333|-1.79769313486231e+308
03|MIRNY|SG|116.10|62.55|114.09|-1.79769313486231e+308
02|OLEKMINSK|ON|116.05|60.4133333333333|120.443333333333|-1.79769313486231e+308
18|NERYUNGRI|RQ|116.85|56.91|124.881666666667|-1.79769313486231e+308
23|TIKSI|KF|117.10|71.695|128.915|-1.79769313486231e+308
13|YAKUTSK|UD|116.60|62.09|129.781666666667|-1.79769313486231e+308
02|CHOKURDAKH|QG|116.05|70.6283333333333|147.906666666667|-1.79769313486231e+308
14|CHERSKY|CE|116.65|68.7533333333333|161.343333333333|-1.79769313486231e+308
05|MAGDAGACHI|GU|116.20|53.47|125.811666666667|-1.79769313486231e+308
30|ZAVITINSK|GT|117.45|50.19|129.5|-1.79769313486231e+308
07|VOZDVIZHENKA|ZL|116.30|43.9116666666667|131.92|-1.79769313486231e+308
26|VLADIVOSTOK|JL|117.25|43.4033333333333|132.153333333333|-1.79769313486231e+308
15|KHABAROVSK|BD|116.70|48.53|135.196666666667|-1.79769313486231e+308
26|KOMSOMOLSK N A Hurba|UL|117.25|50.41|136.938333333333|-1.79769313486231e+308
18|KOMSOMOLSK N A Dzemgi|UI|116.85|50.6133333333333|137.085|-1.79769313486231e+308
34|SOVETSKAYA GAVAN|RO|117.65|49.2366666666667|140.176666666667|-1.79769313486231e+308
13|YUZHNO-SAKHALINSK|SL|116.60|46.885|142.71|-1.79769313486231e+308
23|OKHA|TQ|117.10|53.515|142.888333333333|-1.79769313486231e+308
