37|PSKOV|NP|117.80|57.785|28.4066666666667|898.0
40|LENINGRAD Siversky|RS|117.95|59.3583333333333|30.045|273.0
02|LENINGRAD Pulkovo|KV|116.05|59.8116666666667|30.2716666666667|273.0
28|SOLTSY|FB|117.35|58.1483333333333|30.3166666666667|608.0
13|STARAYA RUSSA|02|116.60|57.9566666666667|31.385|1735.0
25|MURMANSK Kilpyavr|VA|117.20|69.105|32.4266666666667|2104.0
12|MURMANSK|PF|116.55|68.775|32.7583333333333|2298.0
08|AFRIKANDA|00|116.35|67.4533333333333|32.8016666666667|1771.0
22|OLENYA|PL|117.05|68.1533333333333|33.4883333333333|2068.0
05|SEVEROMORSK-3|JN|116.20|68.8716666666667|33.71|2068.0
11|VOLOGDA|01|116.50|59.2833333333333|39.95|100.0
20|ARKHANGELSK|AZ|116.95|64.6016666666667|40.72|206.0
28|KOTLAS|BR|117.35|60.9966666666667|46.865|31.0
40|NARYAN-MAR|RK|117.95|67.6333333333333|53.1333333333333|246.0
14|AMDERMA|AL|116.65|69.7666666666667|61.5833333333333|-1.79769313486231e+308
09|KALININ|KU|116.40|56.825|35.7416666666667|709.0
32|KURSK|WA|117.55|51.755|36.2916666666667|2317.0
34|KUBINKA|01|117.65|55.5966666666667|36.6333333333333|1069.0
12|DOROKHOVO|AL0|116.55|57.7233333333333|36.65|889.0
04|MOSKOW Vnukovo|OB|116.15|55.5983333333333|37.2783333333333|41.0
10|CHKALOVSKY|OF|116.45|55.8816666666667|38.05|62.0
06|RAMENSKOYE|00|116.25|55.5316666666667|38.185|62.0
28|LUKHOVITSY|GW|117.35|54.9083333333333|39.0383333333333|-24.0
31|VORONEZH|AP|117.50|51.8166666666667|39.2333333333333|0.0
22|IVANOVO|AL1|117.05|56.9533333333333|40.8983333333333|92.0
26|NIZHNY NOVGOROD|UV|117.25|56.26|43.7766666666667|210.0
02|SYKTYVKAR|PW|116.05|61.6466666666667|50.8483333333333|257.0
33|PECHORA|PM|117.60|65.1133333333333|57.1266666666667|57.0
19|VORKUTA|DW|116.90|67.49|63.9883333333333|-1.79769313486231e+308
36|ANAPA|AB|117.75|44.9983333333333|37.3383333333333|1837.0
25|TAGANROG|UF|117.20|47.1933333333333|38.8583333333333|1638.0
15|KRASNODAR|KR|116.70|45.0333333333333|39.175|1330.0
35|ROSTOV-NA-DONU|DQ|117.70|47.2716666666667|39.8333333333333|952.0
23|SOCHI|RC|117.10|43.4016666666667|39.9483333333333|2143.0
34|KHANSKAYA|02|117.65|44.6783333333333|40.0316666666667|867.0
01|ARMAVIR|TG|116.00|44.97|41.115|2442.0
24|MOROZOVSK|00|117.15|48.3133333333333|41.7983333333333|1736.0
29|STAVROPOL|OP|117.40|45.1133333333333|42.1083333333333|1041.0
33|MINERALNYYE VODY|NR|117.60|44.225|43.0933333333333|899.0
36|VOLGOGRAD|BD|117.75|48.7783333333333|44.34|-29.0
37|VLADIKAVKAZ|CH|117.80|43.21|44.6|654.0
14|LEBYAZHYE|MA|116.65|50.2016666666667|45.215|-29.0
30|GROZNY|01|117.45|43.3933333333333|45.705|405.0
27|MAKHACHKALA|SM|117.30|42.8166666666667|47.6416666666667|101.0
02|ASTRAKHAN|GV|116.05|46.2766666666667|48.0033333333333|1.0
04|KIROV|XA|116.15|58.5|49.3333333333333|332.0
20|PERM|FM|116.95|57.9166666666667|56.0333333333333|171.0
03|SVERDLOVSK|PU|116.10|56.7383333333333|60.83|166.0
17|CHELYABINSK Shagol|MZ|116.80|55.2516666666667|61.3033333333333|-1.79769313486231e+308
29|CHELYABINSK Balandino|GO|117.40|55.3|61.5|-1.79769313486231e+308
15|BEREZOVO|BB|116.70|63.9183333333333|65.01|-1.79769313486231e+308
32|TYUMEN|AT|117.55|57.1666666666667|65.3333333333333|-1.79769313486231e+308
05|SALEKHARD|DM|116.20|66.6|66.6|-1.79769313486231e+308
02|KHARASAVEY,MYS|ZG|116.05|71.2333333333333|66.9333333333333|-1.79769313486231e+308
35|TOBOLSK|NH|117.70|58.1378333333333|68.2343333333333|-1.79769313486231e+308
04|KHANTY-MANSIYSK|ZJ|116.15|61.0333333333333|69.1166666666667|-1.79769313486231e+308
37|NADYM|PZ|117.80|65.475|72.705|-1.79769313486231e+308
40|SURGUT|AM|117.95|61.35|73.4166666666667|-1.79769313486231e+308
13|KAMENNY,MYS|ZL|116.60|68.4833333333333|73.5833333333333|-1.79769313486231e+308
11|NOYABRSK|UC|116.50|63.1833333333333|75.2666666666667|-1.79769313486231e+308
16|NIZHNEVARTOVSK|NZ|116.75|60.95|76.4666666666667|-1.79769313486231e+308
06|NOVY URENGOY|AD|116.25|66.0666666666667|76.55|-1.79769313486231e+308
08|PENZA|RN|116.35|53.1083333333333|45.0116666666667|-4.0
11|ENGELS-2|00|116.50|51.475|46.22|-29.0
02|ULYANOVSK|LS|116.05|54.26|48.2283333333333|35.0
30|ULYANOVSK Vostochny|DR|117.45|54.4033333333333|48.815|35.0
40|KAZAN|AM|117.95|55.6|49.2833333333333|117.0
05|KUYBYSHEV Kurumoch|FK|116.20|53.5016666666667|50.14|33.0
21|KUYBYSHEV Bezymyanka|NA|117.00|53.2283333333333|50.335|33.0
01|ORENBURG|WP|116.00|51.8|55.45|177.0
35|UFA|RG|117.70|54.555|55.8933333333333|175.0
06|KHATANGA|ZT|116.25|71.9666666666667|102.483333333333|-1.79769313486231e+308
23|DIKSON,O|QK|117.10|73.5166666666667|80.4133333333333|-1.79769313486231e+308
